complaint_type,n_requests
HEAT/HOT WATER,17436
Noise - Residential,15075
Request Large Bulky Item Collection,14220
Illegal Parking,12867
Blocked Driveway,9036
Street Condition,4932
Street Light Condition,4233
Electronics Waste Appointment,4149
Broken Parking Meter,3681
Missed Collection (All Materials),3006
Abandoned Vehicle,2907
General Construction/Plumbing,2595
Noise,2475
Water System,2406
UNSANITARY CONDITION,2394
Derelict Vehicles,2268
Noise - Commercial,2256
Traffic Signal Condition,2235
Noise - Street/Sidewalk,2115
Sanitation Condition,2091
